long,lat,nombre,domicilio,imagen,automat,observ,nro_est,horario,dire_norm
-58.392452073017,-34.5831330757635,Facultad de Derecho,Av. Pres.Figueroa Alcorta y  Juan A.Bibiloni,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),1,Estación automática: disponibilidad las 24 horas,"FIGUEROA ALCORTA, PRES. AV. y BIBILONI, JUAN A."
-58.3748217877563,-34.5925888097729,Retiro,Av. Dr.Jose Ramos Mejia y Del Libertador Av,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),2,Estación automática: disponibilidad las 24 horas,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV."
-58.3689178425541,-34.6112420249771,Aduana,Av. Ing.Huergo y Av. Belgrano,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),3,Estación automática: disponibilidad las 24 horas,"HUERGO, ING. AV. y BELGRANO AV."
-58.3689503833679,-34.6017210875929,Plaza Roma,Lavalle y Bouchard,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),4,Estación automática: disponibilidad las 24 horas,LAVALLE y BOUCHARD
-58.3697086719241,-34.62830131247,Parque Lezama,Av Martín García e Irala,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),6,Estación automática: disponibilidad las 24 horas,"GARCIA, MARTIN AV. e IRALA"
-58.420997041078,-34.5801273443074,Plaza Italia,Av. Santa Fe y Av. Sarmiento,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),5,Estación automática: disponibilidad las 24 horas,SARMIENTO AV. y CALZADA CIRCULAR PLAZA ITALIA
-58.3809896041082,-34.6058404963166,Obelisco,Av. 9 de Julio y Tte. Gral Juan Domingo Perón,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),7,Estación automática: disponibilidad las 24 horas,"PELLEGRINI, CARLOS y PERON, JUAN DOMINGO, TTE. GENERAL"
-58.3892532601533,-34.6099304592001,Congreso,Av. Hipólito Yrigoyen y Virrey Ceballos,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),8,Estación automática: disponibilidad las 24 horas,"YRIGOYEN, HIPOLITO AV. y CEVALLOS, VIRREY"
-58.4071446712567,-34.5839145725724,Parque Las Heras,Parque Las Heras,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),9,Estación automática: disponibilidad las 24 horas,"DIAZ, CNEL. AV. y FRENCH"
-58.3657458611297,-34.6155514279975,Puerto Madero - UCA,Moreau de Justo 1500,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),10,Estación automática: disponibilidad las 24 horas,"1500 MOREAU DE JUSTO, ALICIA AV."
-58.3850216107216,-34.6013128134582,Tribunales,Tribunales,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),11,Estación automática: disponibilidad las 24 horas,651 TALCAHUANO
-58.3889488675196,-34.5931772798824,Plaza Vicente López,Plaza Vicente López,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),12,Estación automática: disponibilidad las 24 horas,PARANA y JUNCAL
-58.4065992807793,-34.6096220036013,Once,Plaza Miserere,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),13,Estación automática: disponibilidad las 24 horas,RIVADAVIA AV. y PUEYRREDON AV.
-58.4263198647396,-34.5777874974914,Pacífico,Pacífico,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),14,Estación automática: disponibilidad las 24 horas,"580 BULLRICH, INT. AV."
-58.3985214522976,-34.5991898492147,Plaza Houssay,Plaza Houssay,estacion_automatica.png,AUTOMÁTICA,Nueva estación! - Se pasó de Manual a Automática en Junio 2015,43,Estación automática: disponibilidad las 24 horas,"CORDOBA AV. y URIBURU JOSE E., PRES."
-58.374717240582,-34.6099593400598,Legislatura (ex Plaza de Mayo),Perú y Diagonal Sur,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),16,Estación automática: disponibilidad las 24 horas,"PERU y ROCA, JULIO A., PRESIDENTE AV."
-58.4188322144416,-34.6063985250933,Plaza Almagro,Plaza Almagro,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),17,Estación automática: disponibilidad las 24 horas,"BULNES y PERON, JUAN DOMINGO, TTE. GENERAL"
-58.3804806550249,-34.6173731525033,Independencia,Av. Independencia y 9 de Julio,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),18,Estación automática: disponibilidad las 24 horas,INDEPENDENCIA AV. y 9 DE JULIO AV.
-58.3775489312645,-34.5954047949981,Plaza San Martín,Plaza San Martín,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),19,Estación automática: disponibilidad las 24 horas,750 SANTA FE AV.
-58.4417885099317,-34.5800361241865,Distrito Audiovisual,Zapiola y Dorrego,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),20,Estación automática: disponibilidad las 24 horas,1 ZAPIOLA
-58.3825704592366,-34.594099836289,Arenales,Arenales y Cerrito,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),22,Estación automática: disponibilidad las 24 horas,ARENALES y CERRITO
-58.3795661232215,-34.6002957825126,Suipacha,Suipacha y Viamonte,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),23,Estación automática: disponibilidad las 24 horas,691 SUIPACHA
-58.3807669356213,-34.6105722194484,Alsina,Adolfo Alsina y Bernardo de Irigoyen,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),24,Estación automática: disponibilidad las 24 horas,"ALSINA, ADOLFO e IRIGOYEN, BERNARDO DE"
-58.4160650218385,-34.5895207284602,Plaza Guemes,Salguero Jerónimo y Mansilla,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),25,Estación automática: disponibilidad las 24 horas,"SALGUERO, JERONIMO y MANSILLA, LUCIO NORBERTO, GENERAL"
-58.3636035935707,-34.6010006869203,Juana Manso,Emma de la Barra y Juana Manso,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática) - Se modificó el nombre (ex Emma de la Barra),26,Estación automática: disponibilidad las 24 horas,"DE LA BARRA,  EMMA y MANSO JUANA"
-58.3898959983962,-34.5995678801944,Montevideo,Av. Córdoba y Montevideo,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),27,Estación automática: disponibilidad las 24 horas,CORDOBA AV. y MONTEVIDEO
-58.4123981979493,-34.6228502511336,Plaza Boedo,Carlos Calvo entre Virrey Liniers y Sánchez de Loria,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),28,Estación automática: disponibilidad las 24 horas,"CALVO, CARLOS y LINIERS VIRREY"
-58.4345767879498,-34.6084590356008,Parque Centenario,Patricias Argentinas y Carlos Finlay,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),29,Estación automática: disponibilidad las 24 horas,"PATRICIAS ARGENTINAS AV. y FINLAY, CARLOS J. AV."
-58.4066133884138,-34.6400292426058,Parque Patricios,Iguazú y Uspallata,estacion_automatica.png,AUTOMÁTICA,Nueva estación! - Mayo 2015,21,Estación automática: disponibilidad las 24 horas,IGUAZU y USPALLATA
